"Test Case","Test","Template","Implemented"
"pthread_mutex_init","psxtmmutex01","psxtmtest_init_destroy","Yes"
"pthread_mutex_destroy","psxtmmutex01","psxtmtest_init_destroy","Yes"
"pthread_mutex_lock - not available, block","psxtmmutex02","psxtmtest_blocking","Yes"
"pthread_mutex_lock - available","psxtmmutex03","psxtmtest_single","Yes"
"pthread_mutex_trylock - available","psxtmmutex03","psxtmtest_single","Yes"
"pthread_mutex_trylock - not available","psxtmmutex03","psxtmtest_single","Yes"
"pthread_mutex_unlock - no threads waiting","psxtmmutex03","psxtmtest_single","Yes"
"pthread_mutex_unlock - thread waiting, no preempt","psxtmmutex05","psxtmtest_unblocking_nopreempt",
"pthread_mutex_unlock - thread waiting, preempt","psxtmmutex06","psxtmtest_unblocking_preempt",
"pthread_mutex_timedlock - available","psxtmmutex03","psxtmtest_single","Yes"
"pthread_mutex_timedlock - not available, block","psxtmmutex04","psxtmtest_blocking",
"pthread_mutex_setprioceiling","psxtmmutex07","psxtmtest_single","Yes"
"pthread_mutex_getprioceiling","psxtmmutex07","psxtmtest_single","Yes"
,,,
"pthread_cond_init",,"psxtmtest_init_destroy",
"pthread_cond_destroy",,"psxtmtest_init_destroy",
"pthread_cond_signal - no threads waiting",,,
"pthread_cond_signal - thread waiting, no preempt",,,
"pthread_cond_signal - thread waiting, preempt",,,
"pthread_cond_broadcast",,,
"pthread_cond_wait - blocks",,"psxtmtest_blocking",
"pthread_cond_timedwait - blocks",,"psxtmtest_blocking",
,,,
"pthread_create - no preempt","psxtmthread01","psxtmtest_single","Yes"
"pthread_create - preempt","psxtmthread02","psxtmtest_single",
"pthread_join","psxtmthread03",,
"pthread_detach",,,
"pthread_exit",,,
"pthread_self",,,
"pthread_equal",,,
"pthread_getschedparam",,,
"pthread_setschedparam - no thread switch",,,
"pthread_setschedparam - lower own priority, preempt",,,
"pthread_setschedparam - raise other priority, preempt",,,
,,,
"pthread_once",,,
,,,
"pthread_key_create","psxtmkey01","psxtmtest_init_destroy",
"pthread_setspecific","psxtmkey02","psxtmtest_single",
"pthread_getspecific","psxtmkey02","psxtmtest_single",
"pthread_key_delete","psxtmkey01","psxtmtest_init_destroy",
,,,
"pthread_cancel",,,
"pthread_setcancelstate",,,
"pthread_setcanceltype",,,
"pthread_testcancel",,,
"pthread_cleanup_push",,,
"pthread_cleanup_pop",,,
,,,
"pthread_getcpuclockid",,,
,,,
"pthread_barrier_init","psxtmbarrier01","psxtmtest_init_destroy",
"pthread_barrier_destroy","psxtmbarrier01","psxtmtest_init_destroy",
"pthread_barrier_wait – blocking","psxtmbarrier02","psxtmtest_blocking",
"pthread_barrier_wait – releasing, no preempt","psxtmbarrier03","psxtmtest_unblocking_nopreempt",
"pthread_barrier_wait – releasing, preempt","psxtmbarrier04","psxtmtest_unblocking_preempt",
,,,
"pthread_spin_init",,"psxtmtest_init_destroy",
"pthread_spin_destroy",,"psxtmtest_init_destroy",
"pthread_spin_lock - available",,"psxtmtest_single",
"pthread_spin_trylock - available",,"psxtmtest_single",
